TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TimeSinceLastTransaction,TransactionHour,TransactionFrequency,DeviceUsage,IPUsage,MerchantPreference,Cluster,Channel,CustomerOccupation
TX000001,AC00128,4410.2974912253,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,1289.8799133265388,5785.579512246016,1.7271441635919087,19943581.72511176,2024-11-04 08:08:08,-454663982044753.4,28.32080696242022,21.88627706309451,15.573786447012665,11.272875972845698,1.2756766628124168,1,ATM,Doctor
TX000002,AC00455,110117.58278526244,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,1254.3026005162992,9982.569290130537,1.7271441635919087,53667146.73106218,2024-11-04 08:09:35,-393521390910768.9,28.32080696242022,21.88627706309451,13.7394345657165,13.311021466978978,1.2756766628124168,1,ATM,Doctor
TX000003,AC00019,37160.14537191277,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,382.658436665429,4036.8337714607983,1.7271441635919087,4382465.568122234,2024-11-04 08:07:04,-383147873010055.3,29.78263354928326,15.124960869538992,13.7394345657165,19.425457949378817,1.2756766628124168,2,Online,Student
TX000004,AC00070,54150.95326081488,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,507.1790315012676,1868.3890528871284,1.7271441635919087,33425870.423785206,2024-11-04 08:09:06,-435607800438930.0,28.32080696242022,24.14004912761302,15.573786447012665,21.4636034435121,1.2756766628124168,2,Online,Student
TX000005,AC00411,4223.489089766834,2023-10-16 17:51:24,Credit,Atlanta,D000308,65.164.3.100,M091,507.1790315012676,13969.709579120834,1.7271441635919087,28981007.285861902,2024-11-04 08:06:39,-305353004021602.9,29.05172025585174,19.632504998576007,10.070730803124167,13.311021466978978,1.2756766628124168,2,Online,Student
TX000006,AC00393,27195.084706612677,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,364.86978026030926,12151.014008704207,1.7271441635919087,3053796.0305440687,2024-11-04 08:06:36,-460989589432430.4,29.05172025585174,24.14004912761302,11.905082684420332,13.311021466978978,1.2756766628124168,1,ATM,Student
TX000007,AC00199,2364.1617190005313,2023-02-15 16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,702.8542519575855,9842.66963086772,1.7271441635919087,51942493.343569696,2024-11-04 08:10:09,-498328832143729.1,28.32080696242022,8.363644675983474,11.905082684420332,13.311021466978978,1.2756766628124168,1,ATM,Doctor
TX000008,AC00069,50333.05655600746,2023-05-08 17:47:59,Credit,Indianapolis,D000500,92.214.76.157,M020,1236.5139441111794,20475.043734841845,1.7271441635919087,10910914.366832765,2024-11-04 08:10:55,-433185122794380.44,29.05172025585174,21.88627706309451,8.236378921828,19.425457949378817,1.2756766628124168,0,Branch,Retired
TX000009,AC00135,31304.86953869895,2023-03-21 16:59:46,Credit,Detroit,D000690,24.148.92.177,M035,951.8954416292626,6135.328660403059,1.7271441635919087,35477669.731998794,2024-11-04 08:11:14,-471322058394867.7,28.32080696242022,10.61741674050198,15.573786447012665,15.349166961112259,1.2756766628124168,0,Branch,Engineer
TX000010,AC00385,238466.63011232033,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,1023.0500672497418,8513.622867870956,1.7271441635919087,3990615.8941254686,2024-11-04 08:06:32,-463408968091342.8,28.32080696242022,21.88627706309451,11.905082684420332,17.387312455245535,1.2756766628124168,1,ATM,Doctor
TX000011,AC00150,5487.364680884274,2023-03-14 16:46:10,Credit,Albuquerque,D000205,213.15.9.253,M073,969.6840980343824,4246.683260355025,1.7271441635919087,29644503.518969595,2024-11-04 08:06:45,-476884819003484.56,28.32080696242022,21.88627706309451,10.070730803124167,15.349166961112259,1.2756766628124168,2,Online,Engineer
TX000012,AC00459,55762.17572339416,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,418.2357494756686,12220.963838335616,1.7271441635919087,5967727.024205897,2024-11-04 08:07:12,-505443531165562.94,29.05172025585174,21.88627706309451,17.40813832830883,13.311021466978978,1.2756766628124168,2,Online,Student
TX000013,AC00392,144642.11047980533,2023-06-07 17:21:28,Credit,Mesa,D000032,210.98.198.143,M057,471.60171869102805,7884.074401188277,1.7271441635919087,6323461.161413472,2024-11-04 08:08:38,-409379624057936.75,29.05172025585174,12.871188805020488,17.40813832830883,15.349166961112259,1.2756766628124168,0,Branch,Student
TX000014,AC00264,228484.05615938347,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,507.1790315012676,8723.472356765182,1.7271441635919087,744936.7839097932,2024-11-04 08:07:06,-277604362836883.6,28.32080696242022,19.632504998576007,11.905082684420332,15.349166961112259,1.2756766628124168,1,ATM,Student
TX000015,AC00085,49039.99215216214,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,364.86978026030926,9492.920482710677,1.7271441635919087,1174891.0793353284,2024-11-04 08:10:09,-499907300282668.8,28.32080696242022,19.632504998576007,17.40813832830883,15.349166961112259,1.2756766628124168,2,Online,Student
TX000016,AC00270,136156.92261980905,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,685.0655955524657,9143.171334553634,1.7271441635919087,13521295.44383123,2024-11-04 08:12:19,-260148749816956.34,28.32080696242022,10.61741674050198,11.905082684420332,19.425457949378817,1.2756766628124168,1,ATM,Engineer
TX000017,AC00317,162529.01491945353,2023-10-30 16:52:49,Credit,Austin,D000671,53.218.177.171,M048,382.658436665429,11171.716393864486,1.7271441635919087,4417216.0468254415,2024-11-04 08:07:35,-294270351238902.06,28.32080696242022,21.88627706309451,15.573786447012665,19.425457949378817,1.2756766628124168,0,Branch,Student
TX000018,AC00359,144178.00835743197,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,738.431564767825,16487.903445851545,1.7271441635919087,19934845.35336146,2024-11-04 08:11:51,-258489598965219.44,29.78263354928326,19.632504998576007,11.905082684420332,9.234730478712418,1.2756766628124168,2,Online,Engineer
